Gene_ID	lateralrootcap	columella	QC	epidermis	cortex	endodermis	stele
AT1G13600	0.457713143	-0.961504141	0.569530865	-0.467462304	-1.252956941	-0.004597518	1.659276897
AT5G23920	-0.636764605	-0.695107438	0.210832138	-0.602475976	-0.443423648	2.122577796	0.044361733
AT4G26080	-1.216053575	0.647085589	0.42723523	0.024371887	1.628632314	-0.505679615	-1.005591829
AT5G52310	-1.143872508	-0.771171997	1.610054266	0.862983524	0.397132589	-0.207389727	-0.747736146
AT5G53250	-0.947740051	-0.96552701	-0.528481972	-0.157774001	1.550825839	-0.150342767	1.199039962
AT1G14280	-0.446452415	-0.555949371	-0.392508973	-0.465565853	2.244649797	-0.12674727	-0.257425915
AT2G39710	1.143621911	-0.083821489	-1.174028532	-0.307616562	-1.163178665	0.243422494	1.341600843
AT1G07290	-0.118523439	2.250822002	-0.423022806	-0.342627702	-0.436928129	-0.452315814	-0.477404113
AT4G26880	-0.119453796	2.251860651	-0.460992853	-0.412183789	-0.464751701	-0.417882838	-0.376595674
AT5G23050	-1.119923882	0.945486343	1.269202026	-1.005019157	0.869265542	-0.567298595	-0.391712276
AT3G01260	0.778450123	-1.245864489	-0.688726943	-0.365538752	-0.591187084	0.485352255	1.627514891
AT1G52280	-1.177318015	0.059801545	0.259885094	0.453012798	1.82433467	-0.681650519	-0.738065573
AT5G65430	-1.442516109	-0.422214798	-0.563490254	0.12831251	1.273915702	1.305998553	-0.280005604
AT3G03250	-0.639054602	-0.290063747	-1.249974299	1.473130636	1.224773667	0.005423664	-0.524235319
AT1G26700	-0.334179518	-1.006135106	0.30382184	2.093512163	-0.490144057	-0.283824542	-0.28305078
AT5G64620	-0.441086171	-0.494222266	-0.346210044	-0.394250031	2.259170312	-0.214682941	-0.368718859
AT2G45180	-0.426666213	-0.444327313	-0.350570961	-0.437023047	2.262350641	-0.246452897	-0.357310211
AT5G65970	0.382495524	-1.716667725	-1.040363139	0.544599656	0.945001072	0.791195846	0.093738765
AT2G23610	-0.51828116	-0.757302352	-0.2163689	0.776728601	-0.761705064	-0.452522739	1.929451614
AT4G38220	-0.497205151	-0.364979901	-0.632382926	0.222393228	2.069717105	0.134353571	-0.931895927
AT1G70590	-1.16149247	0.673960961	0.301190229	-0.288413243	1.491472198	0.292099588	-1.308817262
AT3G44320	-0.545788946	0.557578114	-0.409114929	-0.54295456	1.912766564	0.145225689	-1.117711932
AT2G14900	-0.588164398	-0.582575703	-0.165602646	-0.598998526	-0.487164883	2.148495592	0.274010564
AT3G22620	-0.418062676	-0.772731951	-0.368572354	-0.510847263	-0.580519161	2.025760212	0.624973193
AT4G15770	-0.168591134	-0.645398178	2.025465548	-0.970531494	-0.560582179	-0.109680567	0.429318004
AT5G61030	-0.315334817	-0.121957476	1.930500103	-0.932641915	-0.94032222	-0.217997694	0.597754018
AT1G01750	0.149819364	-0.589358364	-0.656170201	2.012501684	-0.720466136	-0.650949318	0.454622971
AT1G22500	-0.476871429	-0.714819305	-0.512989189	1.850727365	0.929706425	-0.793122	-0.282631866
